salary_id,employee_id,salary_amount,effective_date
151,58,50756,2020-06-16
152,58,55929,2020-12-26
153,58,59377,2021-07-02
154,58,117278,2021-12-01
155,59,47146,2024-01-11
156,60,39814,2023-07-17
157,60,45326,2023-10-26
158,60,51300,2024-04-07
159,60,55846,2025-03-22
160,60,64164,2025-06-17
161,61,38109,2018-10-02
162,61,113772,2019-05-02
163,62,35881,2024-03-20
164,62,39649,2024-08-28
165,62,78974,2025-03-09
166,63,49454,2021-06-01
167,63,56389,2021-11-23
168,63,60397,2022-04-27
169,63,71439,2022-08-25
170,64,49329,2021-07-23
171,65,58643,2019-10-22
172,66,42712,2021-11-16
173,66,48746,2022-04-10
174,66,105597,2022-06-05
175,67,41971,2020-12-30
176,67,115392,2021-02-04
177,68,76458,2023-10-06
178,69,93955,2019-07-12
179,70,53737,2021-09-02
180,70,60740,2022-04-27
181,70,92976,2022-08-16
182,71,42517,2023-09-15
183,71,46355,2024-07-02
184,71,51946,2025-01-04
185,71,46764,2025-05-12
186,72,55144,2025-04-15
187,72,59535,2025-09-15
188,72,66332,2026-03-26
189,72,74597,2026-10-12
190,72,60758,2027-02-12
191,73,106698,2023-12-19
192,74,53311,2025-02-13
193,74,57299,2025-06-12
194,74,49150,2025-11-30
195,75,59476,2024-11-25
196,76,41656,2020-10-23
197,76,44190,2021-04-30
198,76,47700,2021-10-06
199,76,53787,2022-06-17
200,76,93841,2023-01-16
201,77,97711,2024-08-19
202,78,48478,2021-06-02
203,78,51472,2021-10-03
204,78,59050,2021-12-23
205,78,65793,2022-07-28
206,78,92098,2023-02-28
207,79,41296,2023-08-17
208,79,44706,2024-06-05
209,79,49634,2024-09-16
210,79,55342,2025-04-25
211,79,48968,2025-11-01
212,80,79251,2019-05-15
213,81,38876,2024-10-31
214,81,43021,2025-02-22
215,81,46640,2025-09-19
216,81,62280,2025-12-05
217,82,55582,2023-07-21
218,82,62121,2023-12-20
219,82,69332,2024-03-21
220,82,73466,2024-11-30
221,83,45977,2021-10-18
222,83,48610,2021-12-31
223,83,51113,2022-09-05
224,83,57802,2022-11-26
225,83,72780,2023-10-22
226,84,40971,2021-07-15
227,84,42875,2021-11-22
228,85,40927,2021-06-28
229,85,45189,2021-11-14
230,85,119569,2022-05-31
231,86,43290,2018-06-21
232,86,49154,2019-01-19
233,86,53963,2019-08-02
234,86,56666,2020-05-21
235,86,44373,2020-09-19
236,87,48824,2022-05-17
237,87,51570,2022-08-20
238,87,54750,2023-05-12
239,87,60246,2023-08-20
240,87,61567,2024-03-17
241,88,46394,2020-07-19
242,88,48936,2021-01-25
243,88,53218,2021-07-22
244,88,59136,2022-03-16
245,88,92089,2022-12-11
246,89,36795,2021-03-01
247,89,38834,2021-09-19
248,89,43780,2022-05-14
249,89,48253,2022-10-29
250,89,88689,2023-05-12
251,90,36616,2023-06-19
252,90,39254,2023-11-23
253,90,42277,2024-07-15
254,90,93516,2025-02-07
255,91,45637,2019-11-01
256,91,51959,2020-04-18
257,91,110804,2020-10-17
258,92,52695,2021-02-23
259,92,68477,2021-09-10
260,93,52014,2022-01-21
261,93,59722,2022-11-29
262,93,66884,2023-06-07
263,93,64878,2023-09-08
264,94,48992,2019-11-19
265,95,40800,2024-10-26
266,95,43649,2025-06-30
267,95,46844,2025-10-05
268,95,53656,2026-05-20
269,95,57038,2026-10-10
270,96,47142,2021-04-03
271,96,95176,2021-11-06
272,97,108347,2025-01-05
273,98,49632,2019-03-19
274,99,36111,2024-12-29
275,99,38775,2025-07-20
276,99,44511,2025-11-27
277,99,106263,2026-07-10
278,100,55993,2023-04-30
279,100,59471,2023-09-16
280,100,65105,2024-07-07
281,100,71909,2024-10-03
282,100,84424,2025-01-25
